Feature,1w,1m,2m
acc_ret_1d,-0.03690153777979347,-0.023058002881193942,-0.022844535601365838
acc_ret_1w,-0.01522800961456417,-0.024895437270058794,-0.0013304515906865336
acc_ret_1m,-0.023723649428140127,-0.020440073939279442,0.03331947315986186
acc_ret_2m,-0.01995930144225373,0.018391154346113336,0.051873694039200315
acc_vol_1d,0.0019711760302252093,-0.0004541447182287364,-0.010811706264767967
acc_vol_1w,-0.0091967520771434,-0.006988332932174733,-0.012424587448562271
acc_vol_1m,-0.002461330910139381,0.004885741704157112,0.00489554093314465
acc_vol_2m,0.010571253261040386,0.0015543929191493533,0.002898341010355781
dist_mean_1w,-0.03495190841804894,-0.03261486196393983,-0.016055942163428802
dist_mean_1m,-0.026221204798887853,-0.026294486172385362,0.028565353799609595
dist_mean_2m,-0.01700139210922737,-0.012956891749516138,0.04367239108050471
eps,-0.04934919161703925,-0.04200632497621975,-0.07261427360043832
gross_margin,-0.0088549415645793,-0.022355969270906186,-0.012386402652488497
maxdd_1w,-0.03763157986315996,-0.0011012995400952934,0.00630326134306119
maxdd_1m,-0.017808613317698188,0.008190416502847526,0.010734856437560121
maxdd_2m,-0.03438693683560599,0.010813037458399784,-0.023395992330394567
skew_1w,-0.049419695715427245,-0.08258334340929793,-0.07964334956129979
skew_1m,-0.010094994167855196,-0.03732128511106864,0.008654991771989431
skew_2m,-0.0017065709082348605,-0.025210791654886437,0.02156520178690903
vol_1w,0.03276087086772648,-0.022106598936500896,-0.045464164551926964
vol_1m,0.03470551373295216,-0.025520962583005194,-0.03913171283635301
vol_2m,0.0745017498527213,-0.04263078438805495,-0.022679407097286598
